cache_misses,cache_load,cache_miss_ratio(%),dTLB_misses,dTLB_load,dTLB_miss_ratio(%),runtime(ms)
2289.000000,48810.000000,4.69,124.000000,46980.000000,0.26,0.070000
2166.000000,50208.000000,4.31,21.000000,49909.000000,0.04,0.032000
2067.000000,48588.000000,4.25,14.000000,46869.000000,0.03,0.029000
2200.000000,50264.000000,4.38,16.000000,49930.000000,0.03,0.027000
2176.000000,50242.000000,4.33,21.000000,49942.000000,0.04,0.030000
2157.000000,50204.000000,4.30,24.000000,49915.000000,0.05,0.029000
2199.000000,50264.000000,4.37,15.000000,48414.000000,0.03,0.029000
2244.000000,50286.000000,4.46,12.000000,48372.000000,0.02,0.034000
2155.000000,50219.000000,4.29,11.000000,48409.000000,0.02,0.029000
2195.000000,50258.000000,4.37,17.000000,48413.000000,0.04,0.029000
2181.000000,50248.000000,4.34,16.000000,48417.000000,0.03,0.029000
2210.000000,50274.000000,4.40,16.000000,49930.000000,0.03,0.029000
2204.000000,50246.000000,4.39,20.000000,48396.000000,0.04,0.028000
2212.000000,50277.000000,4.40,15.000000,48413.000000,0.03,0.028000
2086.000000,48607.000000,4.29,16.000000,46871.000000,0.03,0.027000
2172.000000,50214.000000,4.33,14.000000,48390.000000,0.03,0.029000
2281.000000,50345.000000,4.53,21.000000,48395.000000,0.04,0.055000
2130.000000,48651.000000,4.38,17.000000,46872.000000,0.04,0.053000
2279.000000,50345.000000,4.53,27.000000,48422.000000,0.06,0.033000
2212.000000,50277.000000,4.40,12.000000,48406.000000,0.02,0.029000
2123.000000,48644.000000,4.36,12.000000,46862.000000,0.03,0.027000
2190.000000,50237.000000,4.36,20.000000,49927.000000,0.04,0.032000
2089.000000,48610.000000,4.30,12.000000,46867.000000,0.03,0.030000
2093.000000,48614.000000,4.31,12.000000,46862.000000,0.03,0.028000
2216.000000,50282.000000,4.41,20.000000,49941.000000,0.04,0.030000
2216.000000,50258.000000,4.41,19.000000,48396.000000,0.04,0.042000
2229.000000,50295.000000,4.43,20.000000,49941.000000,0.04,0.031000
2206.000000,50248.000000,4.39,12.000000,48387.000000,0.02,0.031000
2167.000000,50232.000000,4.31,15.000000,48414.000000,0.03,0.028000
2216.000000,50263.000000,4.41,19.000000,49925.000000,0.04,0.028000
2191.000000,50233.000000,4.36,12.000000,48388.000000,0.02,0.029000
2181.000000,50247.000000,4.34,16.000000,49936.000000,0.03,0.028000
2275.000000,50317.000000,4.52,18.000000,48385.000000,0.04,0.043000
2214.000000,50261.000000,4.41,15.000000,48395.000000,0.03,0.032000
2398.000000,50440.000000,4.75,44.000000,48423.000000,0.09,0.065000
2269.000000,50335.000000,4.51,18.000000,48418.000000,0.04,0.039000
2221.000000,50285.000000,4.42,20.000000,49940.000000,0.04,0.032000
2131.000000,48652.000000,4.38,16.000000,46871.000000,0.03,0.041000
2133.000000,48654.000000,4.38,18.000000,46858.000000,0.04,0.030000
2175.000000,50224.000000,4.33,14.000000,48391.000000,0.03,0.029000
2214.000000,50278.000000,4.40,21.000000,49940.000000,0.04,0.031000
2220.000000,50284.000000,4.41,12.000000,48410.000000,0.02,0.049000
2207.000000,50255.000000,4.39,17.000000,48393.000000,0.04,0.029000
2124.000000,48645.000000,4.37,13.000000,46868.000000,0.03,0.039000
2140.000000,48661.000000,4.40,17.000000,46861.000000,0.04,0.033000
2209.000000,50251.000000,4.40,17.000000,48393.000000,0.04,0.030000
2193.000000,50253.000000,4.36,12.000000,48401.000000,0.02,0.028000
2149.000000,48670.000000,4.42,16.000000,46871.000000,0.03,0.032000
2118.000000,48639.000000,4.35,14.000000,46858.000000,0.03,0.028000
2251.000000,50317.000000,4.47,16.000000,48416.000000,0.03,0.029000
2126.000000,48647.000000,4.37,16.000000,46872.000000,0.03,0.029000
2374.000000,50416.000000,4.71,35.000000,48414.000000,0.07,0.083000
2283.000000,50348.000000,4.53,19.000000,48417.000000,0.04,0.061000
2214.000000,50256.000000,4.41,16.000000,49914.000000,0.03,0.035000
2224.000000,50266.000000,4.42,13.000000,48389.000000,0.03,0.033000
2127.000000,48648.000000,4.37,13.000000,46868.000000,0.03,0.031000
2225.000000,50291.000000,4.42,20.000000,49941.000000,0.04,0.031000
2229.000000,50293.000000,4.43,18.000000,49937.000000,0.04,0.029000
2247.000000,50311.000000,4.47,21.000000,49935.000000,0.04,0.036000
2212.000000,50256.000000,4.40,17.000000,48395.000000,0.04,0.033000
2392.000000,50434.000000,4.74,86.000000,48463.000000,0.18,0.102000
2227.000000,50291.000000,4.43,21.000000,49931.000000,0.04,0.033000
2260.000000,50302.000000,4.49,17.000000,48393.000000,0.04,0.034000
2235.000000,50277.000000,4.45,14.000000,49911.000000,0.03,0.040000
2154.000000,48675.000000,4.43,13.000000,46863.000000,0.03,0.037000
2144.000000,48665.000000,4.41,15.000000,46857.000000,0.03,0.029000
2249.000000,50315.000000,4.47,14.000000,48401.000000,0.03,0.032000
2232.000000,50297.000000,4.44,17.000000,48415.000000,0.04,0.036000
2261.000000,50303.000000,4.49,17.000000,48397.000000,0.04,0.034000
2231.000000,50297.000000,4.44,16.000000,49937.000000,0.03,0.034000
2237.000000,50303.000000,4.45,16.000000,48416.000000,0.03,0.038000
2137.000000,48658.000000,4.39,15.000000,46870.000000,0.03,0.034000
2319.000000,50386.000000,4.60,33.000000,48434.000000,0.07,0.046000
2258.000000,50322.000000,4.49,30.000000,49940.000000,0.06,0.041000
2195.000000,48716.000000,4.51,22.000000,46876.000000,0.05,0.040000
2289.000000,50354.000000,4.55,22.000000,49951.000000,0.04,0.083000
2225.000000,48746.000000,4.56,15.000000,46870.000000,0.03,0.039000
2267.000000,50314.000000,4.51,19.000000,48399.000000,0.04,0.035000
2220.000000,50262.000000,4.42,22.000000,49919.000000,0.04,0.030000
2256.000000,50300.000000,4.49,17.000000,48379.000000,0.04,0.030000
2284.000000,50350.000000,4.54,24.000000,48423.000000,0.05,0.037000
2269.000000,50335.000000,4.51,25.000000,49940.000000,0.05,0.035000
2151.000000,48668.000000,4.42,12.000000,46858.000000,0.03,0.031000
2245.000000,50287.000000,4.46,18.000000,48389.000000,0.04,0.031000
2243.000000,50307.000000,4.46,20.000000,49939.000000,0.04,0.030000
2209.000000,48730.000000,4.53,55.000000,46909.000000,0.12,0.073000
2261.000000,50308.000000,4.49,18.000000,48400.000000,0.04,0.039000
2231.000000,50273.000000,4.44,16.000000,49913.000000,0.03,0.037000
2229.000000,50275.000000,4.43,11.000000,48385.000000,0.02,0.037000
2225.000000,50291.000000,4.42,23.000000,49944.000000,0.05,0.046000
2270.000000,50335.000000,4.51,18.000000,48408.000000,0.04,0.033000
2247.000000,50312.000000,4.47,18.000000,49943.000000,0.04,0.032000
2293.000000,50335.000000,4.56,18.000000,48378.000000,0.04,0.033000
2128.000000,48649.000000,4.37,12.000000,46862.000000,0.03,0.037000
2255.000000,50319.000000,4.48,18.000000,49924.000000,0.04,0.032000
2176.000000,48697.000000,4.47,11.000000,46853.000000,0.02,0.033000
2281.000000,50323.000000,4.53,27.000000,49913.000000,0.05,0.043000
2292.000000,50359.000000,4.55,32.000000,48434.000000,0.07,0.034000
2254.000000,50320.000000,4.48,17.000000,49938.000000,0.03,0.041000
2258.000000,50300.000000,4.49,16.000000,48393.000000,0.03,0.035000
2158.000000,48679.000000,4.43,17.000000,46871.000000,0.04,0.031000
2255.000000,50320.000000,4.48,19.000000,48417.000000,0.04,0.040000
2278.000000,50343.000000,4.52,17.000000,49937.000000,0.03,0.043000
2263.000000,50310.000000,4.50,15.000000,48390.000000,0.03,0.031000
2147.000000,48666.000000,4.41,11.000000,46861.000000,0.02,0.031000
2258.000000,50322.000000,4.49,14.000000,48413.000000,0.03,0.031000
2250.000000,50292.000000,4.47,17.000000,48393.000000,0.04,0.036000
2261.000000,50326.000000,4.49,18.000000,48412.000000,0.04,0.042000
2165.000000,48686.000000,4.45,15.000000,46869.000000,0.03,0.034000
2256.000000,50303.000000,4.48,20.000000,49925.000000,0.04,0.038000
